rule_name,article_name,article_text
О внесении изменения в статью 28.3 Кодекса Российской Федерации об административных правонарушениях,Статья 2,"Настоящий Федеральный закон вступает в силу с 1 сентября 2019 года. Президент Российской Федерации В.ПУТИН Москва, Кремль 26 июля 2019 года N 223-ФЗ"
О внесении изменения в статью 28.3 Кодекса Российской Федерации об административных правонарушениях,Статья 1,"Внести в  часть 2 статьи 28.3  Кодекса Российской Федерации об административных правонарушениях (Собрание законодательства Российской Федерации, 2002, N 1, ст. 1; N 44, ст. 4295; 2003, N 27, ст. 2700, 2708, 2717; N 46, ст. 4434; N 50, ст. 4847, 4855; 2004, N 31, ст. 3229; N 34, ст. 3529, 3533; 2005, N 1, ст. 9, 13; N 10, ст. 763; N 13, ст. 1077; N 19, ст. 1752; N 27, ст. 2719, 2721; N 30, ст. 3104, 3131; 2006, N 1, ст. 10; N 10, ст. 1067; N 12, ст. 1234; N 17, ст. 1776; N 18, ст. 1907; N 19, ст. 2066; N 23, ст. 2380; N 31, ст. 3420, 3438, 3452; N 45, ст. 4641; N 50, ст. 5279; N 52, ст. 5498; 2007, N 1, ст. 21, 29; N 30, ст. 3755; N 31, ст. 4007; N 41, ст. 4845; N 43, ст. 5084; 2008, N 18, ст. 1941; N 30, ст. 3604; 2009, N 7, ст. 777; N 23, ст. 2759; N 26, ст. 3120, 3122; N 29, ст. 3642; N 30, ст. 3739; N 52, ст. 6412; 2010, N 1, ст. 1; N 21, ст. 2525; N 23, ст. 2790; N 30, ст. 4006, 4007; N 31, ст. 4164, 4195, 4207, 4208; N 49, ст. 6409; 2011, N 1, ст. 10, 23, 54; N 7, ст. 901; N 17, ст. 2310; N 23, ст. 3260; N 27, ст. 3873; N 29, ст. 4298; N 30, ст. 4573, 4585, 4590, 4598, 4600, 4605; N 46, ст. 6406; N 50, ст. 7342, 7345, 7351, 7352, 7355, 7362, 7366; 2012, N 10, ст. 1166; N 19, ст. 2278, 2281; N 24, ст. 3082; N 31, ст. 4320, 4330; N 47, ст. 6402, 6403; N 49, ст. 6757; N 53, ст. 7577, 7602, 7640; 2013, N 14, ст. 1651, 1666; N 19, ст. 2323; N 26, ст. 3207, 3208; N 27, ст. 3454; N 30, ст. 4025, 4029, 4030, 4031, 4032, 4034, 4036, 4040, 4044, 4078, 4082; N 31, ст. 4191; N 43, ст. 5443, 5444; N 44, ст. 5643; N 48, ст. 6161, 6165; N 49, ст. 6327, 6341; N 51, ст. 6683, 6685, 6695; N 52, ст. 6961, 6980, 6986, 7002; 2014, N 6, ст. 559, 566; N 11, ст. 1092; N 14, ст. 1562; N 19, ст. 2302, 2306, 2310, 2324, 2325, 2326, 2327, 2330, 2335; N 26, ст. 3366, 3379; N 30, ст. 4211, 4218, 4228, 4233, 4248, 4256, 4259, 4264, 4278; N 42, ст. 5615; N 43, ст. 5799; N 48, ст. 6636, 6638, 6642, 6651; N 52, ст. 7541; 2015, N 1, ст. 67, 74, 85; N 10, ст. 1405, 1416; N 13, ст. 1811; N 18, ст. 2614, 2620; N 21, ст. 2981; N 24, ст. 3370; N 29, ст. 4359, 4391; N 41, ст. 5637; N 44, ст. 6046; N 45, ст. 6208; N 48, ст. 6706, 6710; N 51, ст. 7250; 2016, N 1, ст. 11, 28, 59, 84; N 10, ст. 1323; N 11, ст. 1481, 1493; N 26, ст. 3871, 3884, 3891; N 27, ст. 4160, 4164, 4183, 4197, 4205, 4223, 4238, 4251, 4259, 4286, 4305; N 28, ст. 4558; N 50, ст. 6975; 2017, N 1, ст. 12, 31, 47; N 7, ст. 1030, 1032; N 9, ст. 1278; N 11, ст. 1535; N 17, ст. 2457; N 18, ст. 2664; N 22, ст. 3069; N 23, ст. 3227; N 27, ст. 3947; N 30, ст. 4455; N 31, ст. 4738, 4775, 4812, 4814, 4815, 4827, 4828; N 47, ст. 6844; N 49, ст. 7308; N 50, ст. 7562; N 52, ст. 7919; 2018, N 1, ст. 30, 35, 48; N 7, ст. 973; N 18, ст. 2562; N 31, ст. 4824, 4826, 4851; N 41, ст. 6187; N 42, ст. 6378; N 45, ст. 6832, 6843; N 47, ст. 7125; N 53, ст. 8436; 2019, N 6, ст. 465; N 10, ст. 893; N 12, ст. 1216, 1217, 1218, 1219; N 16, ст. 1819, 1821; N 22, ст. 2669; N 25, ст. 3161) изменение, дополнив ее пунктом 112 следующего содержания: ""112) должностные лица органов, осуществляющих функции по контролю и надзору в сфере нотариата, - об административных правонарушениях, предусмотренных частью 1 статьи 19.4, частью 1 статьи 19.5 и статьей 19.7 настоящего Кодекса.""."
О внесении изменений в статью 180 Уголовно-исполнительного кодекса Российской Федерации,Статья 1,"Внести в  статью 180  Уголовно-исполнительного кодекса Российской Федерации (Собрание законодательства Российской Федерации, 1997, N 2, ст. 198; 2003, N 50, ст. 4847; 2009, N 52, ст. 6453; 2011, N 50, ст. 7362; 2012, N 10, ст. 1162; 2015, N 48, ст. 6724; 2019, N 30, ст. 4110; N 49, ст. 6951) следующие изменения: 1) в  части четвертой  слова ""органам здравоохранения"" заменить словами ""органу исполнительной власти субъекта Российской Федерации в сфере охраны здоровья""; 2)  дополнить  частью шестой следующего содержания: ""6. В случае освобождения от отбывания наказания администрация учреждения, исполняющего наказание, передает информацию в отношении осужденного, страдающего заболеванием, включенным в перечень заболеваний, представляющих опасность для окружающих, утверждаемый Правительством Российской Федерации, органу исполнительной власти субъекта Российской Федерации в сфере охраны здоровья по избранному им месту жительства для решения вопроса об организации оказания ему медицинской помощи. Перечень передаваемой информации, порядок ее передачи и порядок обмена информацией в случае неприбытия осужденного к избранному им месту жительства определяются Правительством Российской Федерации.""."
О внесении изменений в статью 180 Уголовно-исполнительного кодекса Российской Федерации,Статья 2,"Настоящий Федеральный закон вступает в силу по истечении ста восьмидесяти дней после дня его официального опубликования. Президент Российской Федерации В.ПУТИН Москва, Кремль 20 июля 2020 года N 223-ФЗ"
О внесении изменений в статью 33 Федерального закона Об обязательном пенсионном страховании в Российской Федерации,Статья 2,"1. Настоящий Федеральный закон вступает в силу по истечении тридцати дней после дня его официального опубликования. 2. Действие положений  пункта 17.1 статьи 33  Федерального закона от 15 декабря 2001 года N 167-ФЗ ""Об обязательном пенсионном страховании в Российской Федерации"" распространяется на правоотношения, возникшие с 1 января 2022 года. Президент Российской Федерации В.ПУТИН Москва, Кремль 28 июня 2022 года N 223-ФЗ"
О внесении изменений в статью 33 Федерального закона Об обязательном пенсионном страховании в Российской Федерации,Статья 1,"Внести в  статью 33  Федерального закона от 15 декабря 2001 года N 167-ФЗ ""Об обязательном пенсионном страховании в Российской Федерации"" (Собрание законодательства Российской Федерации, 2001, N 51, ст. 4832; 2009, N 30, ст. 3739; 2010, N 40, ст. 4969; N 42, ст. 5294; N 50, ст. 6597; 2011, N 1, ст. 44; N 45, ст. 6335; N 49, ст. 7043, 7057; 2012, N 26, ст. 3447; 2013, N 27, ст. 3477; N 49, ст. 6352; 2014, N 26, ст. 3394; N 30, ст. 4217; N 48, ст. 6659; 2015, N 1, ст. 72; N 29, ст. 4339; 2016, N 27, ст. 4183; N 52, ст. 7487; 2017, N 24, ст. 3483; N 31, ст. 4765; N 50, ст. 7564; 2018, N 1, ст. 20; N 18, ст. 2574; N 32, ст. 5099; 2020, N 14, ст. 2032; 2021, N 22, ст. 3686; N 24, ст. 4199; 2022, N 9, ст. 1250) следующие изменения: 1) в  абзаце первом пункта 17  слова ""в период с 1 января 2018 года по 31 декабря 2022 года включительно"" заменить словами ""начиная с 1 января 2018 года""; 2)  дополнить  пунктом 17.1 следующего содержания: ""17.1. Для организаций, зарегистрированных на территории Курильских островов, в порядке, в случаях и в течение сроков, которые предусмотрены законодательством Российской Федерации о налогах и сборах, применяется тариф страховых взносов 6,0 процента. Определение суммы страховых взносов по обязательному пенсионному страхованию на финансирование страховой пенсии и накопительной пенсии в отношении застрахованных лиц осуществляется Пенсионным фондом Российской Федерации на основе данных индивидуального (персонифицированного) учета в соответствии с выбранным застрахованным лицом вариантом пенсионного обеспечения (0,0 или 6,0 процента на финансирование накопительной пенсии) по следующим тарифам страховых взносов: Тариф страхового взноса для лиц 1966 года рождения и старше Тариф страхового взноса для лиц 1967 года рождения и моложе Вариант пенсионного обеспечения 0,0 процента на финансирование накопительной пенсии Вариант пенсионного обеспечения 6,0 процента на финансирование накопительной пенсии на финансирование страховой пенсии на финансирование накопительной пенсии на финансирование страховой пенсии на финансирование накопительной пенсии 6,0 процента на финансирование страховой пенсии, из них 6,0 процента - индивидуальная часть тарифа страховых взносов 6,0 процента, из них 6,0 процента - индивидуальная часть тарифа страховых взносов 0,0 процента - индивидуальная часть тарифа страховых взносов 0,0 процента, из них 0,0 процента - индивидуальная часть тарифа страховых взносов 6,0 процента - индивидуальная часть тарифа страховых взносов.""."
О внесении изменений в Федеральный закон О трудовых пенсиях в Российской Федерации в связи с установлением размеров базовых частей трудовых пенсий,Статья 2,"Настоящий Федеральный закон вступает в силу с 1 октября 2007 года. Президент Российской Федерации В.ПУТИН Москва, Кремль 24 сентября 2007 года N 223-ФЗ"
О внесении изменений в Федеральный закон Об обороне,Статья 2,"Президент Российской Федерации Б.ЕЛЬЦИН Москва, Кремль 30 декабря 1999 года N 223-ФЗ"
О внесении изменений в Федеральный закон О трудовых пенсиях в Российской Федерации в связи с установлением размеров базовых частей трудовых пенсий,Статья 1,"Внести в Федеральный  закон  от 17 декабря 2001 года N 173-ФЗ ""О трудовых пенсиях в Российской Федерации"" (Собрание законодательства Российской Федерации, 2001, N 52, ст. 4920; 2003, N 48, ст. 4587; 2004, N 35, ст. 3607; 2005, N 8, ст. 605) следующие изменения: 1)  пункты 1  -  4 статьи 14  изложить в следующей редакции: ""1. Размер базовой части трудовой пенсии по старости устанавливается в сумме 1 260 рублей в месяц. 2. Лицам, достигшим возраста 80 лет или являющимся инвалидами, имеющими ограничение способности к трудовой деятельности III степени, размер базовой части трудовой пенсии по старости устанавливается в сумме 2 520 рублей в месяц. 3. Лицам, на иждивении которых находятся нетрудоспособные члены семьи, указанные в подпунктах 1, 3 и 4 пункта 2 и пункте 3 статьи 9 настоящего Федерального закона, размер базовой части трудовой пенсии по старости устанавливается в следующих суммах: 1) при наличии одного такого члена семьи - 1 680 рублей в месяц; 2) при наличии двух таких членов семьи - 2 100 рублей в месяц; 3) при наличии трех и более таких членов семьи - 2 520 рублей в месяц. 4. Лицам, достигшим возраста 80 лет или являющимся инвалидами, имеющими ограничение способности к трудовой деятельности III степени, на иждивении которых находятся нетрудоспособные члены семьи, указанные в подпунктах 1, 3 и 4 пункта 2 и пункте 3 статьи 9 настоящего Федерального закона, размер базовой части трудовой пенсии по старости устанавливается в следующих суммах: 1) при наличии одного такого члена семьи - 2 940 рублей в месяц; 2) при наличии двух таких членов семьи - 3 360 рублей в месяц; 3) при наличии трех и более таких членов семьи - 3 780 рублей в месяц.""; 2)  пункты 1  и  2 статьи 15  изложить в следующей редакции: ""1. Размер базовой части трудовой пенсии по инвалидности в зависимости от степени ограничения способности к трудовой деятельности устанавливается в следующих суммах: 1) при III степени - 2 520 рублей в месяц; 2) при II степени - 1 260 рублей в месяц; 3) при I степени - 630 рублей в месяц. 2. Лицам, на иждивении которых находятся нетрудоспособные члены семьи, указанные в подпунктах 1, 3 и 4 пункта 2 и пункте 3 статьи 9 настоящего Федерального закона, размер базовой части трудовой пенсии по инвалидности устанавливается в следующих суммах: 1) при III степени: при наличии одного такого члена семьи - 2 940 рублей в месяц; при наличии двух таких членов семьи - 3 360 рублей в месяц; при наличии трех и более таких членов семьи - 3 780 рублей в месяц; 2) при II степени: при наличии одного такого члена семьи - 1 680 рублей в месяц; при наличии двух таких членов семьи - 2 100 рублей в месяц; при наличии трех и более таких членов семьи - 2 520 рублей в месяц; 3) при I степени: при наличии одного такого члена семьи - 1 050 рублей в месяц; при наличии двух таких членов семьи - 1 470 рублей в месяц; при наличии трех и более таких членов семьи - 1 890 рублей в месяц.""; 3)  пункт 1 статьи 16  изложить в следующей редакции: ""1. Размер базовой части трудовой пенсии по случаю потери кормильца устанавливается в следующих суммах: детям, указанным в подпункте 1 пункта 2 статьи 9 настоящего Федерального закона, потерявшим обоих родителей, или детям умершей одинокой матери (круглым сиротам) - 1 260 рублей в месяц (на каждого ребенка); другим нетрудоспособным членам семьи умершего кормильца, указанным в пункте 2 статьи 9 настоящего Федерального закона, - 630 рублей в месяц (на каждого члена семьи).""."
О внесении изменений в Федеральный закон Об обороне,Статья 1,"1. В пункте 9  статьи 1  слова ""положение которых не урегулировано"" заменить словами ""не предусмотренных"". 2.  Статью 23  исключить."
